Ano,Trimestre,Chuva,Tmax,Tmin,Tmean
2000.0,1.0,233.0,36.8,11.8,23.831984126984125
2000.0,2.0,467.59999999999997,33.2,4.5,17.936360153256704
2000.0,3.0,457.1,30.2,0.0,13.885249042145595
2000.0,4.0,346.0,35.8,9.8,21.378199233716472
2001.0,4.0,253.2,35.6,12.0,21.987626984126987
2002.0,1.0,272.3,38.0,15.0,24.90716049382716
2002.0,2.0,444.79999999999995,32.0,3.4,18.234406130268194
2002.0,3.0,472.99999999999994,33.4,4.3,15.591455938697317
2002.0,4.0,418.29999999999995,35.0,8.8,22.23563218390804
2003.0,1.0,437.6,37.8,14.6,24.801234567901236
2003.0,2.0,280.2,31.4,5.8,17.90222222222222
2003.0,3.0,272.00000000000006,34.4,2.4,15.034636015325672
2003.0,4.0,512.4,35.5,8.0,21.24743295019157
2004.0,1.0,172.5,35.0,13.9,23.751984126984127
2004.0,2.0,352.4,35.0,2.8,17.94409961685824
2004.0,3.0,355.0,36.6,2.8,15.888659003831416
2004.0,4.0,227.5,35.4,9.0,20.94409961685824
2005.0,1.0,211.10000000000002,39.2,14.5,24.56395061728395
2005.0,2.0,334.20000000000005,35.6,5.5,18.820996168582376
2005.0,3.0,370.1,32.2,1.8,15.730191570881226
2005.0,4.0,406.4000000000001,36.9,8.5,21.33758620689655
2006.0,1.0,344.3,38.2,14.0,24.704320987654324
2006.0,2.0,221.1,31.6,5.6,17.125785440613026
2006.0,3.0,247.4,32.3,2.7,16.11931034482759
2006.0,4.0,292.7,37.6,10.2,22.18578544061302
2007.0,1.0,364.2,36.6,15.0,25.046172839506173
2007.0,2.0,409.5,33.0,3.4,17.24444444444444
2007.0,3.0,497.4,33.8,0.4,15.164367816091954
2007.0,4.0,290.79999999999995,35.4,9.4,21.67130268199234
2008.0,1.0,204.10000000000002,37.5,14.4,24.16301587301588
2008.0,2.0,470.69999999999993,33.6,1.8,16.593946360153254
2008.0,3.0,413.7,31.8,3.7,15.864789272030654
2008.0,4.0,361.9,36.1,7.6,21.36961685823755
2009.0,1.0,348.7,34.3,14.0,23.97
2009.0,2.0,154.0,33.8,4.0,17.343409961685825
2009.0,3.0,615.3000000000001,33.6,0.1,15.21386973180077
2009.0,4.0,553.5999999999999,35.6,10.0,21.898045977011495
2010.0,1.0,380.5999999999999,39.0,13.3,25.106419753086417
2010.0,2.0,393.0,34.2,3.7,17.5792337164751
2010.0,3.0,446.50000000000006,33.2,2.4,15.435670498084292
2010.0,4.0,221.59999999999997,35.8,8.4,20.962107279693484
2011.0,1.0,338.29999999999995,36.8,14.1,24.73913580246914
2011.0,2.0,331.20000000000005,31.6,4.2,16.972681992337165
2011.0,3.0,460.19999999999993,34.5,2.1,14.893256704980843
2011.0,4.0,189.5,36.4,9.9,21.57455938697318
2012.0,1.0,428.2,39.0,9.8,24.974126984126983
2012.0,2.0,138.0,34.4,0.9,17.77436781609195
2012.0,3.0,511.4,34.0,2.8,16.809770114942527
2012.0,4.0,343.09999999999997,39.8,12.6,23.33616858237548
2013.0,1.0,296.9,38.2,14.4,23.473827160493826
2013.0,2.0,268.7,32.1,5.2,17.16823754789272
2013.0,3.0,498.49999999999994,35.3,1.4,14.845708812260535
2013.0,4.0,392.79999999999995,39.0,11.2,22.09911877394636
2014.0,1.0,331.3,40.6,11.8,25.357654320987653
2014.0,2.0,352.1,32.2,4.2,17.73245210727969
2014.0,3.0,497.2,34.6,3.1,16.53785440613027
2014.0,4.0,456.69999999999993,37.4,13.3,22.668352490421455
2015.0,1.0,303.5,37.0,15.6,24.87950617283951
2015.0,2.0,367.4,32.6,4.5,18.27555555555556
2015.0,3.0,602.1,35.2,5.6,17.572796934865902
2015.0,4.0,517.2,35.5,7.4,21.212988505747123
2016.0,1.0,491.5,39.0,17.5,24.939047619047617
2016.0,2.0,295.2,36.0,3.0,16.45743295019157
