38 -> Machine Learning: Neural network || Interpolation: None || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06286233061569814 | Rel Error: 0.12469516407826489 | Error(%): 6.286233061569814 | R2: 0.014788657769342684
39 -> Machine Learning: Neural network || Interpolation: None || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06743397358943584 | Rel Error: 0.12802166969766052 | Error(%): 6.743397358943584 | R2: -0.1195043838831964
40 -> Machine Learning: Neural network || Interpolation: None || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.07026623673378493 | Rel Error: 0.12983200335926445 | Error(%): 7.026623673378493 | R2: -0.16532525743140591
41 -> Machine Learning: Neural network || Interpolation: Arithmetic Average || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08485774393909051 | Rel Error: 0.15898111052776068 | Error(%): 8.48577439390905 | R2: -0.808468963979051
42 -> Machine Learning: Neural network || Interpolation: Arithmetic Average || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06346634313201201 | Rel Error: 0.12477579520694297 | Error(%): 6.346634313201201 | R2: -0.005198029684588823
43 -> Machine Learning: Neural network || Interpolation: Arithmetic Average || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.065709527148868 | Rel Error: 0.12499059836604114 | Error(%): 6.5709527148868005 | R2: -0.05768121210350219
44 -> Machine Learning: Neural network || Interpolation: Arithmetic Average || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06744731089611325 | Rel Error: 0.12516235946088425 | Error(%): 6.744731089611325 | R2: -0.08203518330887238
45 -> Machine Learning: Neural network || Interpolation: Inverse Distance Weighted || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.0783858346709472 | Rel Error: 0.14972393140505777 | Error(%): 7.83858346709472 | R2: -0.5167047182626583
46 -> Machine Learning: Neural network || Interpolation: Inverse Distance Weighted || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06200727814227707 | Rel Error: 0.12384190030666144 | Error(%): 6.200727814227707 | R2: 0.04422048244246446
47 -> Machine Learning: Neural network || Interpolation: Inverse Distance Weighted || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06881781193490064 | Rel Error: 0.13031964114412092 | Error(%): 6.881781193490063 | R2: -0.1112958114235334
48 -> Machine Learning: Neural network || Interpolation: Inverse Distance Weighted || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.07295251589953186 | Rel Error: 0.13426465409123436 | Error(%): 7.295251589953186 | R2: -0.23254914756077283
49 -> Machine Learning: Neural network || Interpolation: Regional Weight || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08110789738430599 | Rel Error: 0.15169179122464796 | Error(%): 8.110789738430599 | R2: -0.6618778961375822
50 -> Machine Learning: Neural network || Interpolation: Regional Weight || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06382350986416985 | Rel Error: 0.12408088214057526 | Error(%): 6.382350986416984 | R2: -0.004041995222366701
51 -> Machine Learning: Neural network || Interpolation: Regional Weight || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06657515615555111 | Rel Error: 0.12623461203280528 | Error(%): 6.657515615555111 | R2: -0.06310134794430566
52 -> Machine Learning: Neural network || Interpolation: Regional Weight || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06748910319363685 | Rel Error: 0.1257210843527181 | Error(%): 6.748910319363685 | R2: -0.09447721366661432
53 -> Machine Learning: Neural network || Interpolation: Optimized Normal Ratio || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08065937940761651 | Rel Error: 0.15431198009264596 | Error(%): 8.065937940761652 | R2: -0.6173756292755173
54 -> Machine Learning: Neural network || Interpolation: Optimized Normal Ratio || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.05970392528273297 | Rel Error: 0.11492235523690314 | Error(%): 5.970392528273297 | R2: 0.12452093394942165
55 -> Machine Learning: Neural network || Interpolation: Optimized Normal Ratio || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06430917070217922 | Rel Error: 0.12168526013558674 | Error(%): 6.430917070217921 | R2: -0.012572761701601598
56 -> Machine Learning: Neural network || Interpolation: Optimized Normal Ratio || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.07327162230413303 | Rel Error: 0.13489005831594067 | Error(%): 7.327162230413303 | R2: -0.24016290917666572
57 -> Machine Learning: Nearest Neighbors || Interpolation: None || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.0811944332188322 | Rel Error: 0.15409870833468955 | Error(%): 8.11944332188322 | R2: -0.6051392362707444
58 -> Machine Learning: Nearest Neighbors || Interpolation: None || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06275442124667925 | Rel Error: 0.12040195082614333 | Error(%): 6.275442124667925 | R2: 0.028962873361276897
59 -> Machine Learning: Nearest Neighbors || Interpolation: None || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06678065560501835 | Rel Error: 0.12639724342607928 | Error(%): 6.678065560501835 | R2: -0.06991320142812985
60 -> Machine Learning: Nearest Neighbors || Interpolation: None || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06936910328689462 | Rel Error: 0.12750978015020714 | Error(%): 6.9369103286894624 | R2: -0.1224783723934697
61 -> Machine Learning: Nearest Neighbors || Interpolation: Arithmetic Average || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08632218844984815 | Rel Error: 0.1642061146652902 | Error(%): 8.632218844984815 | R2: -0.8441511601540121
62 -> Machine Learning: Nearest Neighbors || Interpolation: Arithmetic Average || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06452540818921132 | Rel Error: 0.12627117338319754 | Error(%): 6.452540818921132 | R2: -0.0022166137511507866
63 -> Machine Learning: Nearest Neighbors || Interpolation: Arithmetic Average || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.0676512158054712 | Rel Error: 0.1285089043392156 | Error(%): 6.76512158054712 | R2: -0.08334818167139413
64 -> Machine Learning: Nearest Neighbors || Interpolation: Arithmetic Average || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06788535400801338 | Rel Error: 0.12663814756933098 | Error(%): 6.788535400801337 | R2: -0.07892712275546576
65 -> Machine Learning: Nearest Neighbors || Interpolation: Inverse Distance Weighted || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.07909014813311711 | Rel Error: 0.1501821007927366 | Error(%): 7.909014813311711 | R2: -0.58024838499324
66 -> Machine Learning: Nearest Neighbors || Interpolation: Inverse Distance Weighted || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06264529336210956 | Rel Error: 0.12098489641754158 | Error(%): 6.2645293362109555 | R2: 0.0544714195746977
67 -> Machine Learning: Nearest Neighbors || Interpolation: Inverse Distance Weighted || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.0681439239991872 | Rel Error: 0.12941631261431685 | Error(%): 6.81439239991872 | R2: -0.12318325142125586
68 -> Machine Learning: Nearest Neighbors || Interpolation: Inverse Distance Weighted || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06785379514184815 | Rel Error: 0.12712843296529688 | Error(%): 6.785379514184815 | R2: -0.10104037828017942
69 -> Machine Learning: Nearest Neighbors || Interpolation: Regional Weight || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.09004502442002453 | Rel Error: 0.17056585470746316 | Error(%): 9.004502442002453 | R2: -0.939991220089738
70 -> Machine Learning: Nearest Neighbors || Interpolation: Regional Weight || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.0662098449403904 | Rel Error: 0.13158470088448568 | Error(%): 6.620984494039039 | R2: -0.046615429144755804
71 -> Machine Learning: Nearest Neighbors || Interpolation: Regional Weight || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06838190340330151 | Rel Error: 0.1303384536610303 | Error(%): 6.838190340330151 | R2: -0.13027630237753285
72 -> Machine Learning: Nearest Neighbors || Interpolation: Regional Weight || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06816481228773846 | Rel Error: 0.12759370611209497 | Error(%): 6.8164812287738465 | R2: -0.0896720940564888
73 -> Machine Learning: Nearest Neighbors || Interpolation: Optimized Normal Ratio || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08623777256979845 | Rel Error: 0.16344523658798216 | Error(%): 8.623777256979844 | R2: -0.7909492219793601
